"Date","Tournament","Finish Pos.","SG: Tee-to-Green","SG: Off-the-Tee","Driving Distance","Driving Distance - All Drives","Longest Drives","Driving Accuracy Percentage","Distance from Edge of Fairway","Left Rough Tendency","Right Rough Tendency","Total Driving","Club Head Speed","Total Driving Efficiency"
"4/16/2017","RBC Heritage","T9",".405","-.055","274.5","275.6","313","58.93","18' 0""","5.45","21.82","88","107.36","56"
"4/2/2017","Shell Houston Open","CUT","-1.183","-.159","271.5","271.3","304","64.29","39' 11""","7.14","17.86","1,998","-","-"
"3/19/2017","Arnold Palmer Invt'l","T13","1.481",".666","277.1","281.8","335","76.79","24' 1""","3.57","7.14","73","107.72","6"
"3/12/2017","Valspar Championship","CUT","-1.363",".115","277.0","276.5","324","46.15","22' 8""","26.92","11.54","1,998","-","-"
"2/26/2017","The Honda Classic","T48","-.155",".121","291.1","276.0","308","58.93","20' 11""","14.29","14.29","84","109.57","32"
"2/19/2017","Genesis Open","CUT","-.148","-.202","282.8","269.9","311","57.14","23' 1""","14.29","25.00","1,998","110.12","1,998"
"2/5/2017","Waste Management Phoenix","T24",".261",".931","302.4","306.2","330","62.50","23' 1""","9.09","16.36","61","111.97","72"
"1/29/2017","Farmers Insurance Open","T9",".416","-.021","281.3","279.7","302","55.36","28' 4""","14.29","30.95","87","107.38","70"
"1/22/2017","CareerBuilder Challenge","T3","2.400",".312","283.9","280.7","306","71.43","25' 3""","21.43","10.71","61","109.69","56"
"1/15/2017","Sony Open in Hawaii","T20","-.563",".294","318.0","291.8","344","57.14","20' 10""","25.00","8.93","45","110.12","39"
"11/20/2016","The RSM Classic","CUT","-3.478","-.608","279.3","277.5","306","60.71","13' 1""","7.14","7.14","1,998","112.46","1,998"
"11/13/2016","OHL Classic at Mayakoba","T55","-","-","280.9","-","308","71.43","-","-","-","71","-","-"
"11/6/2016","Shriners Hospitals","T15",".464",".425","309.8","299.0","345","48.21","22' 2""","16.07","25.00","91","111.53","48"
"10/23/2016","CIMB Classic","T33","-","-","-","-","-","62.50","-","-","-","-","-","-"
"10/16/2016","Safeway Open","CUT","-2.344",".628","300.5","283.4","323","53.57","24' 0""","10.71","32.14","1,998","113.61","1,998"
"9/11/2016","BMW Championship","T13",".661",".732","297.5","286.2","345","71.43","16' 11""","12.50","12.50","43","110.75","76"
"9/5/2016","Deutsche Bank Champ","T24","1.324",".528","292.6","280.1","323","58.93","13' 11""","19.64","12.50","94","108.82","40"
"8/28/2016","The Barclays","T22",".120",".067","290.8","290.3","332","67.86","20' 7""","12.50","8.93","63","112.00","75"
"8/21/2016","Wyndham Championship","CUT",".931",".992","314.8","290.1","333","53.57","16' 8""","14.29","25.00","1,998","108.73","1,998"
"8/14/2016","John Deere Classic","CUT","-.306",".209","287.0","278.7","322","71.43","20' 10""","10.71","7.14","1,998","109.25","1,998"
"8/7/2016","Travelers Championship","CUT","-.064","1.371","291.5","286.2","315","71.43","19' 6""","14.29","10.71","1,998","108.46","1,998"
"7/24/2016","RBC Canadian Open","T23","1.433",".877","301.3","308.2","371","51.79","22' 7""","19.64","19.64","89","110.93","87"
